channel1,channel2,channel3,channel4,channel5,channel6
3.889167827014221e-06,-4.328423070501949e-07,-1.9324486346944056e-06,-1.2830278309035891e-06,3.4582104378735835e-07,-2.809031345616204e-07
4.320834183576896e-06,-7.751628432579916e-07,-1.7143468240947096e-06,-1.3842762785695934e-06,3.474636293318982e-07,-4.484597478442606e-07
4.063983917334873e-06,-1.0527081182866623e-06,-1.3564699436824963e-06,-1.2321569143145669e-06,2.879060022792907e-07,-4.355805898601589e-07
3.168867134307825e-06,-1.2728622303632328e-06,-1.004702888031271e-06,-9.390756775268001e-07,1.0248747447064577e-07,-2.8183031645464923e-07
1.8174381516646174e-06,-1.426586965827381e-06,-7.202343462233585e-07,-6.316898283035556e-07,-1.88405704896565e-07,-1.1781547832808443e-07
2.903841383783396e-07,-1.4796362920846263e-06,-4.818732109780266e-07,-3.785583547985132e-07,-4.678326690774864e-07,-5.420898840319831e-08
-1.1160221240154196e-06,-1.3836569785209452e-06,-2.379076218636533e-07,-1.8192270116545357e-07,-5.753101437999814e-07,-9.71924186749002e-08
-2.1798985627774286e-06,-1.103342124263868e-06,3.151870282487955e-08,-2.3275805358182768e-08,-3.966492955089172e-07,-1.5865682645103683e-07
-2.8045377632418e-06,-6.525657904502578e-07,2.907782751036488e-07,9.029426240433155e-08,5.393961173841964e-08,-1.3748319119463278e-07
-3.0077949912681897e-06,-1.1381760025714986e-07,4.848185393689138e-07,1.25011441051979e-07,6.133136918107121e-07,8.25487544814045e-09
-2.8584785088837978e-06,3.8524982301307917e-07,5.94902895536426e-07,6.356478045155691e-08,1.0511586785435262e-06,2.4503745340045727e-07
-2.405402922863351e-06,7.275616817514697e-07,6.53210552531033e-07,-5.3404196545012937e-08,1.2201570071150357e-06,4.879499714418892e-07
-1.6582673268435467e-06,8.513532946340569e-07,7.04770727444817e-07,-1.3509297765777532e-07,1.1570357718691968e-06,6.374961596373804e-07
-6.3384272823011e-07,7.519711189103345e-07,7.603184481225434e-07,-1.0359305280935898e-07,1.0429442017192431e-06,6.216869238599434e-07
5.805876898308255e-07,4.5282971418635247e-07,7.837278610169086e-07,3.289142566111393e-08,1.0600318307085884e-06,4.3312245816667647e-07
1.8054707240651453e-06,-1.1818090107801899e-08,7.180398286353711e-07,1.6339140435819683e-07,1.2652717889419745e-06,1.3848617920718524e-07
2.8125624883543387e-06,-5.804487970293631e-07,5.252852704229185e-07,1.4431053323377816e-07,1.5650298138380924e-06,-1.5037354662892973e-07
3.410397892157715e-06,-1.1433240440693704e-06,2.1579870691909076e-07,-9.029246487075706e-08,1.7850572217291516e-06,-3.3034094709665686e-07
3.515174005695526e-06,-1.5592095053311699e-06,-1.4654338273948202e-07,-4.6636398058104225e-07,1.7761679602606044e-06,-3.564361704965379e-07
3.1663538568997635e-06,-1.710458883733234e-06,-4.6711220850799993e-07,-8.034910841899279e-07,1.489943827729445e-06,-2.576291794106301e-07
2.4976187091393823e-06,-1.5592629330869697e-06,-6.598170242038257e-07,-9.178454317474491e-07,9.854804424753931e-07,-1.1205747077038943e-07
1.6901577581315762e-06,-1.1682596692279616e-06,-6.791837267846022e-07,-7.253170946336883e-07,3.7557354431270086e-07,-1.3189981746065043e-09
9.144454427129158e-07,-6.699635276827588e-07,-5.30123367816551e-07,-2.8189772669902253e-07,-2.3673796001968277e-07,3.032273163677134e-08
2.737156692927833e-07,-2.0034238532748602e-07,-2.585662644790996e-07,2.5862933185103067e-07,-7.801435871786742e-07,-6.853841429443529e-09
-2.1380920889972678e-07,1.596432424394971e-07,6.587211147556985e-08,7.3488811514315e-07,-1.1930123781005674e-06,-6.517655157931097e-08
-5.778467115298195e-07,3.964994590573621e-07,3.652313404756269e-07,1.0542981761490528e-06,-1.4034156347886708e-06,-1.0119188060996384e-07
-8.361319749136839e-07,5.324818211306612e-07,5.63907390494384e-07,1.2119366713781392e-06,-1.3491813538994803e-06,-1.0673721374056574e-07
-9.617645032068509e-07,5.841449349854083e-07,6.035630504543756e-07,1.2522445020243593e-06,-1.0230200964336002e-06,-1.0344758456648289e-07
-9.069036534841346e-07,5.462749924292315e-07,4.6874581292599507e-07,1.2142226908957535e-06,-4.988138622026601e-07,-1.1437972808337797e-07
-6.642836483394066e-07,4.1189789338081173e-07,2.0739682394231434e-07,1.1060667163662887e-06,8.345193283851925e-08,-1.449675193084838e-07
-3.044717718844434e-07,2.071973124444296e-07,-8.115843497460405e-08,9.211686211888186e-07,5.646647440136981e-07,-1.8561550703409773e-07
5.54672512228345e-08,2.7634413953503464e-09,-2.945273450071696e-07,6.74287500881297e-07,8.225948480483905e-07,-2.2441193521315236e-07
3.2539212611743933e-07,-1.2266673225615433e-07,-3.8027879893538097e-07,4.277733035226924e-07,8.140056877703885e-07,-2.5568871359832943e-07
4.93843133560297e-07,-1.449515871371932e-07,-3.550564001659986e-07,2.7822026887380213e-07,5.884811662834558e-07,-2.8098308311561436e-07
6.198800638133845e-07,-1.2435086380312295e-07,-2.7832749713181067e-07,2.956461161088236e-07,2.6980544900404957e-07,-3.0612964819684654e-07
7.681639549999029e-07,-1.6174955688021997e-07,-2.0328952833294615e-07,4.6046113993472694e-07,5.868722692306771e-09,-3.3559795084515824e-07
9.296541024977525e-07,-3.1051145238293456e-07,-1.4135261763267559e-07,6.635921262763601e-07,-9.840483695135093e-08,-3.6378512617471013e-07
9.982998619409126e-07,-5.203891988852021e-07,-6.383355696635394e-08,7.752750627949188e-07,-2.834029560240005e-08,-3.6921987980347216e-07
8.410991182543274e-07,-6.653673596713222e-07,6.314984695976737e-08,7.208888554868602e-07,1.4737608585744555e-07,-3.1879592129334926e-07
4.100735210413628e-07,-6.371745962935632e-07,2.3919133137673524e-07,5.1005589698206e-07,3.335014214541488e-07,-1.8242688705827985e-07
-2.0002068648704698e-07,-4.295472649958423e-07,4.1960584546244537e-07,2.1944457637193036e-07,4.7159485528546486e-07,4.366257881780326e-08
-7.926739686753348e-07,-1.4233760493403502e-07,5.454936260528799e-07,-4.186059398190522e-08,5.632161101780757e-07,3.1241189565501356e-07
1.186859475778073e-09,-1.8487470000717636e-09,-5.107904891383816e-10,-1.0369227420898358e-09,-1.5109703515234482e-09,-7.026269979355446e-10
1.080876154793013e-08,-2.069095966188743e-08,-5.1485062712897174e-09,-1.1010392667571316e-08,-1.8284387901963472e-08,-7.818947938649844e-09
3.848349842425582e-08,-1.0816085631856104e-07,-2.2809706931581175e-08,-5.339727588626473e-08,-1.0517778717514795e-07,-4.081698301757325e-08
3.950374258054236e-08,-3.506850605001591e-07,-5.4520466210410155e-08,-1.540914855281282e-07,-3.8437450309834897e-07,-1.333161934036876e-07
-2.094192972445714e-07,-7.874132314574568e-07,-5.362498111004855e-08,-2.811682228769744e-07,-1.0074166915700269e-06,-3.0669221771316844e-07
-1.1775056461390482e-06,-1.2839009119710578e-06,1.1001247876678434e-07,-2.8049862297303707e-07,-2.028402783421562e-06,-5.297192630457221e-07
-3.4094951785764836e-06,-1.510517933648769e-06,6.211298774002725e-07,9.282309001847127e-08,-3.2817549621994334e-06,-7.103378962090884e-07
-7.154048636755254e-06,-1.0999568162012196e-06,1.6137105066909194e-06,1.0272730972991301e-06,-4.395937972449243e-06,-7.367277438469078e-07
-1.2078310465984376e-05,1.4326912133590984e-07,3.0565846237049477e-06,2.511745509873438e-06,-4.9502521320038085e-06,-5.265407296040432e-07
-1.7272764110643648e-05,2.1438568257874763e-06,4.705233344931957e-06,4.313402339571118e-06,-4.656110746295167e-06,-4.603812775432179e-08
-5.890205923242691e-09,2.914032666850349e-09,1.9021208674417545e-09,2.6217656201870595e-09,9.578933201209714e-10,9.188298374834343e-10
-6.736609181756827e-08,3.455828722928464e-08,2.181749734133469e-08,3.0485201818675044e-08,1.2025561159931352e-08,1.1142298136983856e-08
-3.597676109486883e-07,1.9309644843063116e-07,1.1674239265234964e-07,1.6627182528494585e-07,7.217229480996456e-08,6.381409945980562e-08
-1.1886955645601812e-06,6.766899400139075e-07,3.8624306190129894e-07,5.653660319435621e-07,2.770578036068954e-07,2.2978741358556058e-07
-2.7020449607549534e-06,1.6687478684973549e-06,8.797508189338118e-07,1.341036883877149e-06,7.684879266384603e-07,5.839602988097364e-07
-4.397486472343253e-06,3.073177261714596e-06,1.4408580884887055e-06,2.3423094504900905e-06,1.649928946849276e-06,1.11319456501831e-06
-5.007630366124953e-06,4.355777340601721e-06,1.677524368507421e-06,3.0661522960517843e-06,2.86752275079396e-06,1.64810979165835e-06
-3.1919200186272362e-06,4.768768872864895e-06,1.1833614329512955e-06,2.9085970408210166e-06,4.161580903439883e-06,1.9278014429031556e-06
1.4276484909679435e-06,3.850354621070661e-06,-1.554801928288071e-07,1.5956900730048591e-06,5.150890018246524e-06,1.7782951356425338e-06
7.851663481723558e-06,1.7539015452467172e-06,-2.059395529011939e-06,-5.979647040318937e-07,5.496007327683113e-06,1.2421849636424537e-06
6.895929448176578e-09,-1.6335755396031794e-09,-2.0186667034231002e-09,-1.9651639136741606e-09,3.1405492971922316e-10,-1.777839688356143e-10
8.277499051121091e-08,-2.0685352570633483e-08,-2.4457277007451717e-08,-2.4129809578623996e-08,2.781385938293844e-09,-2.7279243175904353e-09
4.707442102928184e-07,-1.2502610283321095e-07,-1.4069268278697022e-07,-1.4130511884815702e-07,8.819195086854782e-09,-1.9728792341703716e-08
1.6905414309075754e-06,-4.815030333936748e-07,-5.123671844275132e-07,-5.267279581420877e-07,-2.691947916309146e-10,-8.987124829505126e-08
4.306839179279449e-06,-1.3301770048722004e-06,-1.327633756369114e-06,-1.406245037771638e-06,-1.0674227538172932e-07,-2.9019600522556096e-07
8.270772845406192e-06,-2.8105170959093825e-06,-2.603238529307585e-06,-2.8634639190645887e-06,-4.798921017185677e-07,-7.075276883011591e-07
1.2360099908966705e-05,-4.720205039255175e-06,-3.9960763219577305e-06,-4.609577740562235e-06,-1.3028182441648933e-06,-1.352709322705953e-06
1.4487113794730178e-05,-6.446267021393024e-06,-4.865975468319042e-06,-5.9685058704406e-06,-2.6019673920369e-06,-2.0762993294784444e-06
1.2924109315797093e-05,-7.2268765647203874e-06,-4.634666037766773e-06,-6.199480509100426e-06,-4.117034950255252e-06,-2.5948050800629683e-06
7.5149014747550866e-06,-6.5985102610405825e-06,-3.173502871798297e-06,-4.961527649545187e-06,-5.36548514890356e-06,-2.657392516578534e-06
-4.658094690349496e-09,2.3837748975849246e-10,8.855678621718765e-10,8.208488249283367e-10,-1.5826511975514092e-09,-1.7146677197526673e-11
-5.739575682448817e-08,3.950116810315318e-09,1.1547066538782014e-08,1.0409358241020195e-08,-1.822506487655487e-08,-7.869382478796928e-11
-3.382850067395535e-07,3.058483773089175e-08,7.225598065312469e-08,6.339085839939023e-08,-9.817778704360166e-08,7.12454464682275e-10
-1.2756175169982969e-06,1.4906841559746797e-07,2.8995254526927584e-07,2.4832342513624083e-07,-3.281551243968027e-07,9.106585764032242e-09
-3.4731077595263002e-06,5.179431745093433e-07,8.41278515010645e-07,7.078956540945358e-07,-7.583176780397258e-07,4.935784776407251e-08
-7.298259821043846e-06,1.3737655550956971e-06,1.885401339538287e-06,1.5751636619841326e-06,-1.2662420147235883e-06,1.7452813154724703e-07
-1.2321754278427677e-05,2.9014314337023227e-06,3.3992612801152053e-06,2.860248719288191e-06,-1.5115352037618267e-06,4.555158023133812e-07
-1.709089507035101e-05,5.013272624995756e-06,5.055511398776812e-06,4.355359776788725e-06,-1.104715302016845e-06,9.291203724751147e-07
-1.9583369038584497e-05,7.205821531742065e-06,6.2824329728813165e-06,5.628854482983561e-06,1.0912844920859733e-07,1.5253278266092134e-06
-1.8208652087304e-05,8.68692740116062e-06,6.526115647123988e-06,6.150145446850189e-06,1.8943217959300837e-06,2.0426925310864364e-06
2.414716269968217e-09,6.898636818265829e-10,-2.4056917029942925e-10,-1.7559228829023748e-10,1.6152685609415825e-09,1.0868157050613626e-10
3.034712068103193e-08,7.486218365325464e-09,-3.293485778663572e-09,-2.6530497370261816e-09,1.9180474179316196e-08,1.4344075066647243e-09
1.829450403496853e-07,3.720822784089494e-08,-2.2228559948579785e-08,-1.900863562754935e-08,1.0778837879117531e-07,9.02916274743268e-09
7.089956103093213e-07,1.0995389111383266e-07,-9.896434605146962e-08,-8.688519480861164e-08,3.8195631653849415e-07,3.6035581605917476e-08
2.0006322316129762e-06,2.018989169294828e-07,-3.2697043244969376e-07,-2.877448201251991e-07,9.578673183826169e-07,1.0174748210468284e-07
4.419205891942638e-06,1.76874749812086e-07,-8.522251568499787e-07,-7.435283855847714e-07,1.8017411534769703e-06,2.1276437361803848e-07
8.021111833817763e-06,-2.2527278808448363e-07,-1.81457263132379e-06,-1.5742670435077983e-06,2.6064734710461285e-06,3.286228543314256e-07
1.2366219225558415e-05,-1.275708294397866e-06,-3.221335608834903e-06,-2.8222110441582902e-06,2.866126029359583e-06,3.406586410968265e-07
1.6514167989732945e-05,-3.0458762829778628e-06,-4.819826055728817e-06,-4.367831397737517e-06,2.159993490784911e-06,1.0857901823072433e-07
1.920126981472891e-05,-5.227020639902484e-06,-6.092119766253032e-06,-5.877419450747775e-06,4.5131398721404686e-07,-4.3302987640681545e-07
8.40187182668301e-10,-1.7124760391874667e-09,-7.838481004457836e-10,-1.263697217203124e-09,-1.8376596749671187e-09,-6.038724510697953e-10
6.74875788782028e-09,-1.9414282452843945e-08,-8.528473786913052e-09,-1.3992882303015631e-08,-2.1949140228351148e-08,-6.5643150028672855e-09
1.622987555091976e-08,-1.0329564835632749e-07,-4.2517801468898127e-08,-7.200703864352605e-08,-1.2436799341522007e-07,-3.336184930737089e-08
-3.649829150556257e-08,-3.4310167046471787e-07,-1.267480918863858e-07,-2.2768568432100993e-07,-4.466315307476325e-07,-1.057592342917188e-07
-3.909731665059358e-07,-7.96495893755119e-07,-2.410385182650529e-07,-4.892270442799597e-07,-1.1468377562088704e-06,-2.3564131660559163e-07
-1.4994005349025405e-06,-1.3619788905268245e-06,-2.5755715501030356e-07,-7.304468778162011e-07,-2.2528227514943165e-06,-3.94033828099641e-07
-3.844021235768905e-06,-1.7280221645778397e-06,5.482094004712226e-08,-6.847136890885354e-07,-3.5334805292081805e-06,-5.11418099743287e-07
-7.591132158641229e-06,-1.4914460941163683e-06,9.170708592554051e-07,-7.757543331255832e-08,-4.540818644851461e-06,-5.062666989903882e-07
-1.2349636982295047e-05,-3.6764023547974393e-07,2.3842714950230662e-06,1.2014987639449312e-06,-4.813020672481502e-06,-3.042128469514603e-07
-1.7204267420970578e-05,1.650330377678567e-06,4.250395378967467e-06,3.0215184540660893e-06,-4.087004500524742e-06,1.587482670656644e-07
-6.03034455567493e-09,3.0372824668554672e-09,2.0622424695394702e-09,2.469250438800277e-09,1.1942080517201024e-09,8.675187282763695e-10
-6.869367195315682e-08,3.57817572129059e-08,2.35802947499704e-08,2.884536284293542e-08,1.4796960621143253e-08,1.0643721378208568e-08
-3.649752936920789e-07,1.9846585042596825e-07,1.259813918980907e-07,1.5816999515250942e-07,8.762018867752027e-08,6.169592534380861e-08
-1.1977772347102862e-06,6.899084040764105e-07,4.1704514441055296e-07,5.408591521614419e-07,3.3167509549027655e-07,2.2500437816032895e-07
-2.6974008889313937e-06,1.686481592604577e-06,9.52975509688753e-07,1.2898136928004155e-06,9.065442981597022e-07,5.799552924904138e-07
-4.327583254357247e-06,3.0765446286864556e-06,1.5711173582675607e-06,2.2628788912963922e-06,1.9168489451541443e-06,1.1241462119085872e-06
-4.7938135072069485e-06,4.315295922357005e-06,1.8509573204745967e-06,2.9713977224189192e-06,3.2789424346191574e-06,1.6985881154181589e-06
-2.7663845532120103e-06,4.664370223421453e-06,1.3445216195044968e-06,2.826057580276843e-06,4.673724580449354e-06,2.036266331751277e-06
2.0846138606016613e-06,3.6830044368943594e-06,-8.268113152681444e-08,1.5664872434113708e-06,5.641493002770358e-06,1.928671616686506e-06
8.711844430194192e-06,1.528199178470758e-06,-2.118848484573339e-06,-5.31536853617629e-07,5.767503546222204e-06,1.3698260993287842e-06
7.129665732076914e-09,-1.9190096998652493e-09,-1.965034991286457e-09,-1.907793452374652e-09,3.789028893452137e-10,-3.361006575446861e-10
8.552233873756974e-08,-2.391758385693484e-08,-2.398246060127802e-08,-2.356411499789912e-08,3.4673408905128017e-09,-4.589993361713941e-09
4.858466140867177e-07,-1.4233268025555287e-07,-1.3885057312073194e-07,-1.3849588654154094e-07,1.2245529544582505e-08,-2.989821055933432e-08
1.7420985646680355e-06,-5.399161097659676e-07,-5.081488837003544e-07,-5.16862192483121e-07,1.0703907934451384e-08,-1.2375913214886585e-07
4.428851300684747e-06,-1.4696434143853416e-06,-1.3201462234681082e-06,-1.3781243864162893e-06,-8.066405080558262e-08,-3.6555802998017323e-07
8.480592095528589e-06,-3.0596928247650845e-06,-2.586560180575706e-06,-2.7960991045871483e-06,-4.2935074682742675e-07,-8.192788239842165e-07
1.2621255920530902e-05,-5.059941263686266e-06,-3.947370636695488e-06,-4.474708151075653e-06,-1.2188173606860179e-06,-1.4442306844274253e-06
1.469553744992094e-05,-6.791703246120889e-06,-4.740144710177887e-06,-5.7431361571658735e-06,-2.4825458725816612e-06,-2.0447491620632953e-06
1.2943422241784102e-05,-7.457796367842071e-06,-4.3866726983832305e-06,-5.88126655110628e-06,-3.98017335381309e-06,-2.3451348443894628e-06
7.250840289656692e-06,-6.633878585801774e-06,-2.8090445786645446e-06,-4.575159532268647e-06,-5.259759795426932e-06,-2.1621925937800135e-06
-4.554441092855874e-09,5.211042799370648e-10,1.0873313946064247e-09,9.630502155196877e-10,-1.1412209515090955e-09,-5.724153891455681e-11
-5.63422097717396e-08,6.9865815536988305e-09,1.37098686204762e-08,1.251548064284783e-08,-1.3123119491638e-08,-4.742979184769427e-10
-3.335120659452375e-07,4.5704617563852474e-08,8.301499679321164e-08,7.812376694971909e-08,-7.028597180554296e-08,-1.1038111869240016e-09
-1.2632735615632036e-06,1.9535153161556807e-07,3.2288863496060744e-07,3.1323436145165993e-07,-2.3147479605354066e-07,3.957844304710997e-09
-3.4547419152335154e-06,6.14995699729028e-07,9.102161685739863e-07,9.102781647397041e-07,-5.170169409665044e-07,3.945200357263039e-08
-7.289915652806446e-06,1.5193619463017305e-06,1.9870236654835707e-06,2.049970990637499e-06,-7.971932448590859e-07,1.6193488581912187e-07
-1.2355774343539277e-05,3.0544507991648683e-06,3.4965098620423693e-06,3.728575472014792e-06,-7.596866587156702e-07,4.4940333537349496e-07
-1.7208101584736237e-05,5.100099431377135e-06,5.077287719945281e-06,5.618020125190863e-06,-7.022760034751829e-08,9.485843665140685e-07
-1.9823622490110917e-05,7.144016598656472e-06,6.1433867130110215e-06,7.102436011044549e-06,1.3528642390292324e-06,1.6004586509864142e-06
-1.859813356487072e-05,8.40704410807608e-06,6.154302001783241e-06,7.533653151020755e-06,3.1852979385046696e-06,2.2109150370102666e-06
2.359666411597849e-09,6.229529640413561e-10,-4.2802231800552597e-10,-1.786864255288419e-10,1.6776669952536051e-09,1.5689854247453425e-10
2.9889166580341306e-08,6.929334736859257e-09,-5.570128210195258e-09,-2.5204230394717457e-09,1.9631193721469873e-08,1.817048604825171e-09
1.817982659804634e-07,3.54873138673719e-08,-3.489918924502379e-08,-1.7264630119580026e-08,1.0865004863152665e-07,9.76177839231887e-09
7.116067205762383e-07,1.0889856338112694e-07,-1.414098450420596e-07,-7.708188472730156e-08,3.791008790717137e-07,3.216516746100147e-08
